,0,1
690,poxaemi,8
691,trasha,7
692,taylorbundy,6
693,a_v_b,5
694,llellostick,6
695,jib,4
696,charliefoxvol2,5
697,sublevel4,4
698,returnofsmith,7
699,bobcashill,4
700,eely,5
701,cascione,6
702,bettyblue,8
703,futurhythm,4
704,ameliapondering,9
705,g4mbit,4
706,rhiannatoria,7
707,gbxavier,7
708,darionadile,5
709,okcordero,8
710,llfin,5
711,drew_phillips,8
712,valjean,5
713,matt_skylar,6
714,tehfreddie,6
715,misterda,6
716,copperoxides,8
717,thegingerprince,2
718,kylebailey,7
719,bulletproofqpid,5
720,squidgygoat,7
721,mrfartonbink,4
722,emonemo,3
723,shaggypc,8
724,pelupop,6
725,crisogando,7
726,shrim123,2
727,ejdzsin,3
728,robertregan,8
729,aaronblocke,6
730,chrisz,6
731,cinepillolenaz,7
732,anny,7
733,artyficial,8
734,lazaros,8
735,zacheney,5
736,csweda,5
737,brandon_260,7
738,gcf,8
739,pschmidt24,6
740,jujucarrington,8
741,brittanyalyse,5
742,moviereviewninj,9
743,russellreno,6
744,cinenaste,7
745,whipstaff_manor,6
746,stevepulaski,7
747,benface,9
748,thommoj03,6
749,nathansizemore,8
750,dhsilver,6
751,digg,1
752,kleberbriz,7
753,aznan,5
754,_jorgos,8
755,greatdane123,7
756,millieg1,6
757,contrarianalex,4
758,maxtheperson,8
759,marilianevesv,6
760,francylorena,8
761,chabeng,10
762,circleoffilm,3
763,robx,6
764,ahstanleykubric,5
765,dismoviepod,6
766,joeylopez,8
767,mhffman,6
768,lauranande,8
769,hannibalplanet,8
770,meg10,6
771,woas,1
772,chloevill,7
773,graytecritic,7
774,powerofhypnosis,8
775,rubydtz,2
776,laubertapop,7
777,sethcertified,6
778,mcande902,8
779,ian8hale,6
780,lilumiao,8
781,adventuregranma,6
782,jennapaige,9
783,broeho,1
784,drew_phillips,7
785,rantonucci,6
786,brueri,8
787,mquandt,6
788,lowthar,6
789,mitchwhales,7
790,swiggydswirl,4
791,maddykeep,7
792,amclapham04,6
793,hmf,8
794,willowsimone,8
795,skylarostrich,9
796,avadelaine,8
797,samvacc,6
798,zer0na,8
799,trublinparadise,1
800,madierhays,8
801,sroodsal,3
802,wonga,7
803,mayodemon,6
804,aswygs,1
805,lsmac,6
806,kcbalser,3
807,jennyiraci,10
808,annawatchmovies,6
809,gagetolinwrites,8
810,alexsava,8
811,amlee9001,2
812,rainewoman,6
813,hallefrieden,6
814,livwgnr,6
815,danjrusso,3
816,thegaychingy,8
817,artdarko,3
818,medonotlikeyou,3
819,reemadai,4
820,jackrho22,6
821,roseridleyjones,6
822,bergen13,5
823,macygreenwood,8
824,merlloyd,6
825,hilaryjanesmith,5
826,julieaneane,3
827,mimikitty,9
828,tofumommy,3
829,ktepi,5
830,hkotler,4
831,mh47,6
832,humilityenjoyer,8
833,mrmartinez281,7
834,kleiothegreek,7
835,anna_french,2
836,eddietr,7
837,dssquared89,8
838,emersonn,6
839,freires13,6
840,julia_2,6
841,ignoramus,7
842,callender,7
843,sdatta,8
844,baylinell,6
845,annaisa,9
846,ravynes,6
847,danieldelong16,8
848,mwdoyle,6
849,junopip37,10
850,mycolorschange,7
851,potterlives,7
852,anabellav,6
853,fazehoover,6
854,darinasokolova,8
855,rileyxcaffey,6
856,evanherron,7
857,lizttv,7
858,savnnyleigh,5
859,staniston,6
860,mindamaureen,4
861,naddodie,8
862,frantomas,6
863,laceynoelle,6
864,gveets,7
865,kbourget,5
866,catherinecahn,9
867,hypocritypical,8
868,quinnmccormick,8
869,xtina666,6
870,filmkrys,4
871,starrfilm,6
872,slucitt,4
873,jcanfiel,4
874,0l1714,2
875,madslayton,5
876,grantgentry,7
877,element_devious,7
878,willaivyy,1
879,sillybandz,8
880,brendanpsargent,3
881,squids_are_cool,7
882,mikamanoo,7
883,jameson_west,6
884,ringowardo,6
885,marisaholliday,6
886,rubyolivia5,6
887,cowboyromance,4
888,softparade,7
889,daxwhitston,5
890,jahzeel,5
891,illclinton,4
892,allaena,8
893,parker_gibbons,3
894,assholeiguana,6
895,mackmagfilm,4
896,yos_11,6
897,leahfagan,4
898,ziggytsardust,1
899,hannahherndon,4
900,gsu80123,7
901,nicofulton,6
902,jerseydevi1,8
903,myhousekey,6
904,rachillustrate,5
905,joeman1,9
906,happyyhobbitt,7
907,vaughaal,7
908,shmelliott,2
909,jsnakeus,8
910,peachfuzzcritic,6
911,solopoli,6
912,edenthatapple,9
913,whitneya,6
914,hotbikergirl,4
915,owenwilsonkissr,2
916,teamgale,4
917,leuk_emia,5
918,smellis18,7
919,kaylamcc,5
920,pjimenez810,8
921,jacklvstheworld,6
922,ellavodrazka,6
923,zaddyzach,6
924,motif,6
925,r_m_taliaferro,7
926,jr22,7
927,bossswanqueeen,10
928,sickmovielover,8
929,heegs,10
930,heybestie,7
931,jmoore6,6
932,isabellaali,5
933,wickedrick,8
934,edtesler,5
935,tman8910,8
936,argyletulip,6
937,combito,5
938,superradcooldad,7
939,leeky614,3
940,suckerpunch2k15,10
941,lethargilistic,6
942,viviennezammit,6
943,dariusmf,7
944,hiimsanj,7
945,r_o_s_e__,4
946,hyrtegon,6
947,biggiesize89,3
948,irishj16,6
949,lydslopic,5
950,forty9hills,2
951,gustavanderson,8
952,capitolfi,8
953,pshawcensor,8
954,politewasp,7
955,rachelp11,10
956,jamesspratt,7
957,kamrynr,6
958,fdsaninha,8
959,myrsie,5
960,gmw237,5
961,zeenies,6
962,djkennyj,4
963,faveamanda,7
964,moviewatcher69x,4
965,arthennessey,6
966,abc_1234,7
967,glorp,6
968,steveglansberg,4
969,nachosuarez,6
970,sunniesux,8
971,bboylan13,6
972,thekaylie,6
973,toegirl456,9
974,emiliesu,7
975,floruccii,7
976,evie1322,8
977,erinlizzle,5
978,ajisokay,7
979,xenomorrphic,5
980,soniast,6
981,jfreese,7
982,alainabrynn,6
983,armandoarrojo,7
984,antisocialboy,7
985,dechacon,6
986,lorettalove,5
987,samanthakras,7
988,kennotbarbie,5
989,daniarbs,7
990,lexn,6
991,jack_davy,6
992,truetthanes,3
993,rkenf,6
994,jenboz12,7
995,nikoriana,8
996,dzasada,8
997,jbodes,6
998,charlesss,6
